stim_ID,true_label,bg_hue,obj_int,obj_sat,bg_int,bg_sat,user_label,match_true_label,obj_r,obj_g,obj_b,bg_r,bg_g,bg_b,obj_rgb,bg_rgb
97,red,green,0.7,0.3,0.8999999999999999,1.0,,,0.7,0.4899999999999999,0.4899999999999999,0.0,0.8999999999999999,0.0,"[0.700000,0.490000,0.490000]","[0.000000,0.900000,0.000000]"
46,red,red,0.3,0.3,0.5,0.8,,,0.3,0.21,0.21,0.5,0.0999999999999999,0.0999999999999999,"[0.300000,0.210000,0.210000]","[0.500000,0.100000,0.100000]"
23,gray_l,red,0.7,0.0,0.4999999999999999,0.5,,,0.7,0.7,0.7,0.4999999999999999,0.2499999999999999,0.2499999999999999,"[0.700000,0.700000,0.700000]","[0.500000,0.250000,0.250000]"
7,gray_d,red,0.3,0.0,0.5,1.0,,,0.3,0.3,0.3,0.5,0.0,0.0,"[0.300000,0.300000,0.300000]","[0.500000,0.000000,0.000000]"
122,red,blue,0.7,0.7,0.8999999999999999,0.4999999999999999,,,0.7,0.21,0.21,0.4499999999999999,0.4499999999999999,0.8999999999999999,"[0.700000,0.210000,0.210000]","[0.450000,0.450000,0.900000]"
47,red,red,0.3,0.3,0.5,1.0,,,0.3,0.21,0.21,0.5,0.0,0.0,"[0.300000,0.210000,0.210000]","[0.500000,0.000000,0.000000]"
44,red,red,0.3,0.3,0.0999999999999999,1.0,,,0.3,0.21,0.21,0.0999999999999999,0.0,0.0,"[0.300000,0.210000,0.210000]","[0.100000,0.000000,0.000000]"
85,red,gray,0.7,0.3,1.0,0.0,,,0.7,0.4899999999999999,0.4899999999999999,1.0,1.0,1.0,"[0.700000,0.490000,0.490000]","[1.000000,1.000000,1.000000]"
20,gray_l,gray,0.7,0.0,0.2999999999999999,0.0,,,0.7,0.7,0.7,0.2999999999999999,0.2999999999999999,0.2999999999999999,"[0.700000,0.700000,0.700000]","[0.300000,0.300000,0.300000]"
112,red,red,0.7,0.7,0.4999999999999999,0.4999999999999999,,,0.7,0.21,0.21,0.4999999999999999,0.2499999999999999,0.2499999999999999,"[0.700000,0.210000,0.210000]","[0.500000,0.250000,0.250000]"
54,red,blue,0.3,0.3,0.0999999999999999,0.0999999999999999,,,0.3,0.21,0.21,0.0899999999999999,0.0899999999999999,0.0999999999999999,"[0.300000,0.210000,0.210000]","[0.090000,0.090000,0.100000]"
72,red,green,0.3,0.7,0.0999999999999999,0.4999999999999999,,,0.3,0.09,0.09,0.0499999999999999,0.0999999999999999,0.0499999999999999,"[0.300000,0.090000,0.090000]","[0.050000,0.100000,0.050000]"
14,gray_d,blue,0.3,0.0,0.5,0.5,,,0.3,0.3,0.3,0.25,0.25,0.5,"[0.300000,0.300000,0.300000]","[0.250000,0.250000,0.500000]"
18,gray_d,yellow,0.3,0.0,0.5,0.5,,,0.3,0.3,0.3,0.5,0.5,0.25,"[0.300000,0.300000,0.300000]","[0.500000,0.500000,0.250000]"
111,red,gray,0.7,0.7,1.0,0.0,,,0.7,0.21,0.21,1.0,1.0,1.0,"[0.700000,0.210000,0.210000]","[1.000000,1.000000,1.000000]"
42,red,red,0.3,0.3,0.0999999999999999,0.0999999999999999,,,0.3,0.21,0.21,0.0999999999999999,0.0899999999999999,0.0899999999999999,"[0.300000,0.210000,0.210000]","[0.100000,0.090000,0.090000]"
29,gray_l,green,0.7,0.0,0.4999999999999999,1.0,,,0.7,0.7,0.7,0.0,0.4999999999999999,0.0,"[0.700000,0.700000,0.700000]","[0.000000,0.500000,0.000000]"
91,red,red,0.7,0.3,0.8999999999999999,1.0,,,0.7,0.4899999999999999,0.4899999999999999,0.8999999999999999,0.0,0.0,"[0.700000,0.490000,0.490000]","[0.900000,0.000000,0.000000]"
34,gray_l,blue,0.7,0.0,0.8999999999999999,0.5,,,0.7,0.7,0.7,0.4499999999999999,0.4499999999999999,0.8999999999999999,"[0.700000,0.700000,0.700000]","[0.450000,0.450000,0.900000]"
92,red,green,0.7,0.3,0.4999999999999999,0.0999999999999999,,,0.7,0.4899999999999999,0.4899999999999999,0.4499999999999999,0.4999999999999999,0.4499999999999999,"[0.700000,0.490000,0.490000]","[0.450000,0.500000,0.450000]"
